County,STATE,fips,Census,Estimates Base
Logan, Oklahoma,40083,41848,41854
Love, Oklahoma,40085,9423,9416
McClain, Oklahoma,40087,34506,34503
McCurtain, Oklahoma,40089,33151,33154
McIntosh, Oklahoma,40091,20252,20247
Major, Oklahoma,40093,7527,7526
Marshall, Oklahoma,40095,15840,15838
Mayes, Oklahoma,40097,41259,41266
Murray, Oklahoma,40099,13488,13488
Muskogee, Oklahoma,40101,70990,70997
Noble, Oklahoma,40103,11561,11566
Nowata, Oklahoma,40105,10536,10536
Okfuskee, Oklahoma,40107,12191,12191
Oklahoma, Oklahoma,40109,718633,718385
Okmulgee, Oklahoma,40111,40069,40062
Osage, Oklahoma,40113,47472,47473
Ottawa, Oklahoma,40115,31848,31848
Pawnee, Oklahoma,40117,16577,16570
Payne, Oklahoma,40119,77350,77347
Pittsburg, Oklahoma,40121,45837,45827
Pontotoc, Oklahoma,40123,37492,37488
Pottawatomie, Oklahoma,40125,69442,69443
Pushmataha, Oklahoma,40127,11572,11578
Roger Mills, Oklahoma,40129,3647,3647
Rogers, Oklahoma,40131,86905,86914
Seminole, Oklahoma,40133,25482,25482
Sequoyah, Oklahoma,40135,42391,42428
Stephens, Oklahoma,40137,45048,45047
Texas, Oklahoma,40139,20640,20640
Tillman, Oklahoma,40141,7992,7991
Tulsa, Oklahoma,40143,603403,603430
Wagoner, Oklahoma,40145,73085,73082
Washington, Oklahoma,40147,50976,50979
Washita, Oklahoma,40149,11629,11558
Woods, Oklahoma,40151,8878,8878
Woodward, Oklahoma,40153,20081,20084
Baker, Oregon,41001,16134,16131
Benton, Oregon,41003,85579,85581
Clackamas, Oregon,41005,375992,375996
Clatsop, Oregon,41007,37039,37026
Columbia, Oregon,41009,49351,49353
Coos, Oregon,41011,63043,63055
Crook, Oregon,41013,20978,20978
Curry, Oregon,41015,22364,22364
Deschutes, Oregon,41017,157733,157728
Douglas, Oregon,41019,107667,107684
Gilliam, Oregon,41021,1871,1873
Grant, Oregon,41023,7445,7444
Harney, Oregon,41025,7422,7422
Hood River, Oregon,41027,22346,22346
Jackson, Oregon,41029,203206,203204
Jefferson, Oregon,41031,21720,21725
Josephine, Oregon,41033,82713,82719
Klamath, Oregon,41035,66380,66384
Lake, Oregon,41037,7895,7885
Lane, Oregon,41039,351715,351705
Lincoln, Oregon,41041,46034,46033
Linn, Oregon,41043,116672,116681
Malheur, Oregon,41045,31313,31316
Marion, Oregon,41047,315335,315338
Morrow, Oregon,41049,11173,11175
Multnomah, Oregon,41051,735334,735146
Polk, Oregon,41053,75403,75400
Sherman, Oregon,41055,1765,1766
Tillamook, Oregon,41057,25250,25254
Umatilla, Oregon,41059,75889,75887
Union, Oregon,41061,25748,25744
Wallowa, Oregon,41063,7008,7008
Wasco, Oregon,41065,25213,25211
Washington, Oregon,41067,529710,529862
Wheeler, Oregon,41069,1441,1439
Yamhill, Oregon,41071,99193,99216
Adams, Pennsylvania,42001,101407,101428
Allegheny, Pennsylvania,42003,1223348,1223303
Armstrong, Pennsylvania,42005,68941,69059
Beaver, Pennsylvania,42007,170539,170531
Bedford, Pennsylvania,42009,49762,49776
Berks, Pennsylvania,42011,411442,411570
Blair, Pennsylvania,42013,127089,127117
Bradford, Pennsylvania,42015,62622,62700
Bucks, Pennsylvania,42017,625249,625256
Butler, Pennsylvania,42019,183862,183880
Cambria, Pennsylvania,42021,143679,143695
Cameron, Pennsylvania,42023,5085,5085
Carbon, Pennsylvania,42025,65249,65244
Centre, Pennsylvania,42027,153990,154005
Chester, Pennsylvania,42029,498886,499133
Clarion, Pennsylvania,42031,39988,39988
Clearfield, Pennsylvania,42033,81642,81609
Clinton, Pennsylvania,42035,39238,39253
Columbia, Pennsylvania,42037,67295,67299
Crawford, Pennsylvania,42039,88765,88750
Cumberland, Pennsylvania,42041,235406,235387
Dauphin, Pennsylvania,42043,268100,268126
Delaware, Pennsylvania,42045,558979,558757
Elk, Pennsylvania,42047,31946,31946
Erie, Pennsylvania,42049,280566,280584
Fayette, Pennsylvania,42051,136606,136601
Forest, Pennsylvania,42053,7716,7709
Franklin, Pennsylvania,42055,149618,149631
Fulton, Pennsylvania,42057,14845,14844
Greene, Pennsylvania,42059,38686,38685
Huntingdon, Pennsylvania,42061,45913,46000
Indiana, Pennsylvania,42063,88880,88885
Jefferson, Pennsylvania,42065,45200,45189
Juniata, Pennsylvania,42067,24636,24637
Lackawanna, Pennsylvania,42069,214437,214415
Lancaster, Pennsylvania,42071,519445,519443
Lawrence, Pennsylvania,42073,91108,91157
Lebanon, Pennsylvania,42075,133568,133597
Lehigh, Pennsylvania,42077,349497,349675
Luzerne, Pennsylvania,42079,320918,320906
Lycoming, Pennsylvania,42081,116111,116102
McKean, Pennsylvania,42083,43450,43461
Mercer, Pennsylvania,42085,116638,116663
Mifflin, Pennsylvania,42087,46682,46679
Monroe, Pennsylvania,42089,169842,169841
Montgomery, Pennsylvania,42091,799874,799840
Montour, Pennsylvania,42093,18267,18256
Northampton, Pennsylvania,42095,297735,297712
Northumberland, Pennsylvania,42097,94528,94476
Perry, Pennsylvania,42099,45969,45931
Philadelphia, Pennsylvania,42101,1526006,1526012
Pike, Pennsylvania,42103,57369,57338
Potter, Pennsylvania,42105,17457,17447
Schuylkill, Pennsylvania,42107,148289,148290
Snyder, Pennsylvania,42109,39702,39721
Somerset, Pennsylvania,42111,77742,77731
Sullivan, Pennsylvania,42113,6428,6429
Susquehanna, Pennsylvania,42115,43356,43327
Tioga, Pennsylvania,42117,41981,41904
Union, Pennsylvania,42119,44947,44963
Venango, Pennsylvania,42121,54984,54988
Warren, Pennsylvania,42123,41815,41811
Washington, Pennsylvania,42125,207820,207849
Wayne, Pennsylvania,42127,52822,52873
Westmoreland, Pennsylvania,42129,365169,365071
Wyoming, Pennsylvania,42131,28276,28283
York, Pennsylvania,42133,434972,435015
Bristol, Rhode Island,44001,49875,49844
Kent, Rhode Island,44003,166158,166109
Newport, Rhode Island,44005,82888,83141
Providence, Rhode Island,44007,626667,626781
Washington, Rhode Island,44009,126979,127089
Abbeville, South Carolina,45001,25417,25416
Aiken, South Carolina,45003,160099,160129
Allendale, South Carolina,45005,10419,10419
Anderson, South Carolina,45007,187126,186922
Bamberg, South Carolina,45009,15987,15972
Barnwell, South Carolina,45011,22621,22621
Beaufort, South Carolina,45013,162233,162219
Berkeley, South Carolina,45015,177843,178373
Calhoun, South Carolina,45017,15175,15178
Charleston, South Carolina,45019,350209,350128
Cherokee, South Carolina,45021,55342,55488
Chester, South Carolina,45023,33140,33159
Chesterfield, South Carolina,45025,46734,46722
Clarendon, South Carolina,45027,34971,34949
Colleton, South Carolina,45029,38892,38887
Darlington, South Carolina,45031,68681,68611
Dillon, South Carolina,45033,32062,32059
Dorchester, South Carolina,45035,136555,136144
Edgefield, South Carolina,45037,26985,26965
Fairfield, South Carolina,45039,23956,23959
Florence, South Carolina,45041,136885,136965
Georgetown, South Carolina,45043,60158,60311
Greenville, South Carolina,45045,451225,451211
Greenwood, South Carolina,45047,69661,69691
Hampton, South Carolina,45049,21090,21090
Horry, South Carolina,45051,269291,269146
Jasper, South Carolina,45053,24777,24791
Kershaw, South Carolina,45055,61697,61594
Lancaster, South Carolina,45057,76652,76651
Laurens, South Carolina,45059,66537,66513
Lee, South Carolina,45061,19220,19226
Lexington, South Carolina,45063,262391,262453
McCormick, South Carolina,45065,10233,10229
Marion, South Carolina,45067,33062,33058
Marlboro, South Carolina,45069,28933,28935
Newberry, South Carolina,45071,37508,37510
Oconee, South Carolina,45073,74273,74285
Orangeburg, South Carolina,45075,92501,92508
Pickens, South Carolina,45077,119224,119385
Richland, South Carolina,45079,384504,384425
Saluda, South Carolina,45081,19875,19860
Spartanburg, South Carolina,45083,284307,284304
Sumter, South Carolina,45085,107456,107485
Union, South Carolina,45087,28961,28973
Williamsburg, South Carolina,45089,34423,34410
York, South Carolina,45091,226073,226037
Aurora, South Dakota,46003,2710,2710
Beadle, South Dakota,46005,17398,17399
Bennett, South Dakota,46007,3431,3431
Bon Homme, South Dakota,46009,7070,7067
Brookings, South Dakota,46011,31965,31966
Brown, South Dakota,46013,36531,36532
Brule, South Dakota,46015,5255,5255
Buffalo, South Dakota,46017,1912,1913
Butte, South Dakota,46019,10110,10112
Campbell, South Dakota,46021,1466,1466
Charles Mix, South Dakota,46023,9129,9131
Clark, South Dakota,46025,3691,3691
Clay, South Dakota,46027,13864,13866
Codington, South Dakota,46029,27227,27225
Corson, South Dakota,46031,4050,4040
Custer, South Dakota,46033,8216,8218
Davison, South Dakota,46035,19504,19504
Day, South Dakota,46037,5710,5710
Deuel, South Dakota,46039,4364,4364
Dewey, South Dakota,46041,5301,5301
Douglas, South Dakota,46043,3002,3000
Edmunds, South Dakota,46045,4071,4071
Fall River, South Dakota,46047,7094,7094
Faulk, South Dakota,46049,2364,2364
Grant, South Dakota,46051,7356,7358
Gregory, South Dakota,46053,4271,4271
Haakon, South Dakota,46055,1937,1937
Hamlin, South Dakota,46057,5903,5899
Hand, South Dakota,46059,3431,3430
Hanson, South Dakota,46061,3331,3332
Harding, South Dakota,46063,1255,1255
Hughes, South Dakota,46065,17022,17022
Hutchinson, South Dakota,46067,7343,7343
Hyde, South Dakota,46069,1420,1420
Jackson, South Dakota,46071,3031,3030
Jerauld, South Dakota,46073,2071,2071
Jones, South Dakota,46075,1006,1006
Kingsbury, South Dakota,46077,5148,5147
Lake, South Dakota,46079,11200,11202
Lawrence, South Dakota,46081,24097,24090
Lincoln, South Dakota,46083,44828,44823
Lyman, South Dakota,46085,3755,3755
McCook, South Dakota,46087,5618,5618
McPherson, South Dakota,46089,2459,2459
Marshall, South Dakota,46091,4656,4656
Meade, South Dakota,46093,25434,25440
Mellette, South Dakota,46095,2048,2043
Miner, South Dakota,46097,2389,2389
Minnehaha, South Dakota,46099,169468,169474
Moody, South Dakota,46101,6486,6493
Oglala Lakota, South Dakota,46102,13586,13586
Pennington, South Dakota,46103,100948,100960
Perkins, South Dakota,46105,2982,2991
Potter, South Dakota,46107,2329,2334
Roberts, South Dakota,46109,10149,10147
Sanborn, South Dakota,46111,2355,2355
Spink, South Dakota,46115,6415,6415
Stanley, South Dakota,46117,2966,2966
Sully, South Dakota,46119,1373,1368
Todd, South Dakota,46121,9612,9610
Tripp, South Dakota,46123,5644,5649
Turner, South Dakota,46125,8347,8349
Union, South Dakota,46127,14399,14398
Walworth, South Dakota,46129,5438,5438
Yankton, South Dakota,46135,22438,22438
Ziebach, South Dakota,46137,2801,2801
Anderson, Tennessee,47001,75129,75082
Bedford, Tennessee,47003,45058,45057
Benton, Tennessee,47005,16489,16491
Bledsoe, Tennessee,47007,12876,12874
Blount, Tennessee,47009,123010,123098
Bradley, Tennessee,47011,98963,98926
Campbell, Tennessee,47013,40716,40723
Cannon, Tennessee,47015,13801,13813
Carroll, Tennessee,47017,28522,28486
Carter, Tennessee,47019,57424,57383
Cheatham, Tennessee,47021,39105,39110
Chester, Tennessee,47023,17131,17145
Claiborne, Tennessee,47025,32213,32212
Clay, Tennessee,47027,7861,7853
Cocke, Tennessee,47029,35662,35642
Coffee, Tennessee,47031,52796,52803
Crockett, Tennessee,47033,14586,14576
Cumberland, Tennessee,47035,56053,56060
Davidson, Tennessee,47037,626681,626558
Decatur, Tennessee,47039,11757,11750
DeKalb, Tennessee,47041,18723,18722
Dickson, Tennessee,47043,49666,49650
Dyer, Tennessee,47045,38335,38330
Fayette, Tennessee,47047,38413,38439
Fentress, Tennessee,47049,17959,17962
Franklin, Tennessee,47051,41052,41064
Gibson, Tennessee,47053,49683,49687
Giles, Tennessee,47055,29485,29476
Grainger, Tennessee,47057,22657,22656
Greene, Tennessee,47059,68831,68825
Grundy, Tennessee,47061,13703,13726
Hamblen, Tennessee,47063,62544,62534
Hamilton, Tennessee,47065,336463,336477
Hancock, Tennessee,47067,6819,6811
Hardeman, Tennessee,47069,27253,27245
Hardin, Tennessee,47071,26026,26008
Hawkins, Tennessee,47073,56833,56826
Haywood, Tennessee,47075,18787,18807
Henderson, Tennessee,47077,27769,27780
Henry, Tennessee,47079,32330,32349
Hickman, Tennessee,47081,24690,24690
Houston, Tennessee,47083,8426,8429
Humphreys, Tennessee,47085,18538,18535
Jackson, Tennessee,47087,11638,11634
Jefferson, Tennessee,47089,51407,51668
Johnson, Tennessee,47091,18244,18240
Knox, Tennessee,47093,432226,432260
Lake, Tennessee,47095,7832,7832
Lauderdale, Tennessee,47097,27815,27822
Lawrence, Tennessee,47099,41869,41856
Lewis, Tennessee,47101,12161,12170
Lincoln, Tennessee,47103,33361,33354
Loudon, Tennessee,47105,48556,48561
McMinn, Tennessee,47107,52266,52287
McNairy, Tennessee,47109,26075,26082
Macon, Tennessee,47111,22248,22226
Madison, Tennessee,47113,98294,98303
Marion, Tennessee,47115,28237,28222
Marshall, Tennessee,47117,30617,30611
Maury, Tennessee,47119,80956,80932
Meigs, Tennessee,47121,11753,11766
Monroe, Tennessee,47123,44519,44498
Montgomery, Tennessee,47125,172331,172362
Moore, Tennessee,47127,6362,6342
Morgan, Tennessee,47129,21987,21986
Obion, Tennessee,47131,31807,31807
Overton, Tennessee,47133,22083,22082
Perry, Tennessee,47135,7915,7930
Pickett, Tennessee,47137,5077,5086
Polk, Tennessee,47139,16825,16821
Putnam, Tennessee,47141,72321,72339
Rhea, Tennessee,47143,31809,31804
Roane, Tennessee,47145,54181,54208
Robertson, Tennessee,47147,66283,66319
Rutherford, Tennessee,47149,262604,262588
Scott, Tennessee,47151,22228,22232
Sequatchie, Tennessee,47153,14112,14121
Sevier, Tennessee,47155,89889,89720
Shelby, Tennessee,47157,927644,927682
Smith, Tennessee,47159,19166,19150
Stewart, Tennessee,47161,13324,13313
Sullivan, Tennessee,47163,156823,156800
Sumner, Tennessee,47165,160645,160634
Tipton, Tennessee,47167,61081,61006
Trousdale, Tennessee,47169,7870,7864
Unicoi, Tennessee,47171,18313,18311
Union, Tennessee,47173,19109,19107
Van Buren, Tennessee,47175,5548,5558
Warren, Tennessee,47177,39839,39824
Washington, Tennessee,47179,122979,123063
Wayne, Tennessee,47181,17021,17025
Weakley, Tennessee,47183,35021,35015
White, Tennessee,47185,25841,25844
Williamson, Tennessee,47187,183182,183277
Wilson, Tennessee,47189,113993,114062
Anderson, Texas,48001,58458,58452
Andrews, Texas,48003,14786,14786
Angelina, Texas,48005,86771,86771
Aransas, Texas,48007,23158,23158
Archer, Texas,48009,9054,9061
Armstrong, Texas,48011,1901,1901
Atascosa, Texas,48013,44911,44923
Austin, Texas,48015,28417,28412
Bailey, Texas,48017,7165,7165
Bandera, Texas,48019,20485,20487
Bastrop, Texas,48021,74171,74217
Baylor, Texas,48023,3726,3726
Bee, Texas,48025,31861,31861
Bell, Texas,48027,310235,310159
Bexar, Texas,48029,1714773,1714781
Blanco, Texas,48031,10497,10483
Borden, Texas,48033,641,641
Bosque, Texas,48035,18212,18217
Bowie, Texas,48037,92565,92564
Brazoria, Texas,48039,313166,313117
Brazos, Texas,48041,194851,194861
Brewster, Texas,48043,9232,9232
Briscoe, Texas,48045,1637,1637
Brooks, Texas,48047,7223,7223
Brown, Texas,48049,38106,38106
Burleson, Texas,48051,17187,17187
Burnet, Texas,48053,42750,42711
Caldwell, Texas,48055,38066,38055
Calhoun, Texas,48057,21381,21382
Callahan, Texas,48059,13544,13545
Cameron, Texas,48061,406220,406215
Camp, Texas,48063,12401,12401
Carson, Texas,48065,6182,6184
Cass, Texas,48067,30464,30469
Castro, Texas,48069,8062,8063
Chambers, Texas,48071,35096,35107
Cherokee, Texas,48073,50845,50834
Childress, Texas,48075,7041,7041
Clay, Texas,48077,10752,10754
Cochran, Texas,48079,3127,3127
Coke, Texas,48081,3320,3317
Coleman, Texas,48083,8895,8893
Collin, Texas,48085,782341,781419
Collingsworth, Texas,48087,3057,3057
Colorado, Texas,48089,20874,20872
Comal, Texas,48091,108472,108520
Comanche, Texas,48093,13974,13960
Concho, Texas,48095,4087,4087
Cooke, Texas,48097,38437,38436
Coryell, Texas,48099,75388,75474
Cottle, Texas,48101,1505,1506
Crane, Texas,48103,4375,4375
Crockett, Texas,48105,3719,3719
Crosby, Texas,48107,6059,6056
Culberson, Texas,48109,2398,2398
Dallam, Texas,48111,6703,6700
Dallas, Texas,48113,2368139,2367430
Dawson, Texas,48115,13833,13833
Deaf Smith, Texas,48117,19372,19372
Delta, Texas,48119,5231,5232
Denton, Texas,48121,662614,662557
DeWitt, Texas,48123,20097,20097
Dickens, Texas,48125,2444,2441
Dimmit, Texas,48127,9996,9996
Donley, Texas,48129,3677,3726
Duval, Texas,48131,11782,11777
Eastland, Texas,48133,18583,18582
Ector, Texas,48135,137130,137136
Edwards, Texas,48137,2002,2002
Ellis, Texas,48139,149610,149610
El Paso, Texas,48141,800647,800633
Erath, Texas,48143,37890,37895
Falls, Texas,48145,17866,17863
Fannin, Texas,48147,33915,33910
Fayette, Texas,48149,24554,24552
Fisher, Texas,48151,3974,3978
Floyd, Texas,48153,6446,6446
Foard, Texas,48155,1336,1336
Fort Bend, Texas,48157,585375,584699
Franklin, Texas,48159,10605,10601
Freestone, Texas,48161,19816,19817
Frio, Texas,48163,17217,17217
Gaines, Texas,48165,17526,17526
Galveston, Texas,48167,291309,291312
Garza, Texas,48169,6461,6461
Gillespie, Texas,48171,24837,24828
Glasscock, Texas,48173,1226,1226
Goliad, Texas,48175,7210,7210
Gonzales, Texas,48177,19807,19811
Gray, Texas,48179,22535,22537
Grayson, Texas,48181,120877,120877
Gregg, Texas,48183,121730,121747
Grimes, Texas,48185,26604,26581
Guadalupe, Texas,48187,131533,131527
Hale, Texas,48189,36273,36206
Hall, Texas,48191,3353,3353
Hamilton, Texas,48193,8517,8512
Hansford, Texas,48195,5613,5613
Hardeman, Texas,48197,4139,4139
Hardin, Texas,48199,54635,54635
Harris, Texas,48201,4092459,4093176
Harrison, Texas,48203,65631,65640
Hartley, Texas,48205,6062,6062
Haskell, Texas,48207,5899,5902
Hays, Texas,48209,157107,157103
Hemphill, Texas,48211,3807,3807
Henderson, Texas,48213,78532,78578
Hidalgo, Texas,48215,774769,774764
Hill, Texas,48217,35089,35088
Hockley, Texas,48219,22935,22927
Hood, Texas,48221,51182,51163
Hopkins, Texas,48223,35161,35163
Houston, Texas,48225,23732,23731
Howard, Texas,48227,35012,35012
Hudspeth, Texas,48229,3476,3476
Hunt, Texas,48231,86129,86144
Hutchinson, Texas,48233,22150,22251
Irion, Texas,48235,1599,1597
Jack, Texas,48237,9044,9041
Jackson, Texas,48239,14075,14075
Jasper, Texas,48241,35710,35710
Jeff Davis, Texas,48243,2342,2342
Jefferson, Texas,48245,252273,252277
Jim Hogg, Texas,48247,5300,5300
Jim Wells, Texas,48249,40838,40843
Johnson, Texas,48251,150934,150956
Jones, Texas,48253,20202,20192
Karnes, Texas,48255,14824,14828
Kaufman, Texas,48257,103350,103348
Kendall, Texas,48259,33410,33384
Kenedy, Texas,48261,416,413
Kent, Texas,48263,808,808
Kerr, Texas,48265,49625,49644
Kimble, Texas,48267,4607,4605
King, Texas,48269,286,285
Kinney, Texas,48271,3598,3598
Kleberg, Texas,48273,32061,32061
Knox, Texas,48275,3719,3719
Lamar, Texas,48277,49793,49791
Lamb, Texas,48279,13977,13976
Lampasas, Texas,48281,19677,19675
La Salle, Texas,48283,6886,6886
Lavaca, Texas,48285,19263,19264
Lee, Texas,48287,16612,16609
Leon, Texas,48289,16801,16798
Liberty, Texas,48291,75643,75643
Limestone, Texas,48293,23384,23388
Lipscomb, Texas,48295,3302,3302
Live Oak, Texas,48297,11531,11533
Llano, Texas,48299,19301,19303
Lubbock, Texas,48303,278831,278918
Lynn, Texas,48305,5915,5915
McCulloch, Texas,48307,8283,8284
McLennan, Texas,48309,234906,234903
McMullen, Texas,48311,707,707
Madison, Texas,48313,13664,13670
Marion, Texas,48315,10546,10535
Martin, Texas,48317,4799,4799
Mason, Texas,48319,4012,4013
Matagorda, Texas,48321,36702,36702
Maverick, Texas,48323,54258,54258
Medina, Texas,48325,46006,45993
Menard, Texas,48327,2242,2242
Midland, Texas,48329,136872,136872
Milam, Texas,48331,24757,24759
Mills, Texas,48333,4936,4941
Mitchell, Texas,48335,9403,9403
Montague, Texas,48337,19719,19720
Montgomery, Texas,48339,455746,455747
Moore, Texas,48341,21904,21904
Morris, Texas,48343,12934,12934
Motley, Texas,48345,1210,1205
Nacogdoches, Texas,48347,64524,64524
Navarro, Texas,48349,47735,47840
Newton, Texas,48351,14445,14445
Nolan, Texas,48353,15216,15213
Nueces, Texas,48355,340223,340223
Ochiltree, Texas,48357,10223,10223
Oldham, Texas,48359,2052,2052
Orange, Texas,48361,81837,81837
Palo Pinto, Texas,48363,28111,28132
Panola, Texas,48365,23796,23796
Parker, Texas,48367,116927,116949
Parmer, Texas,48369,10269,10269
Pecos, Texas,48371,15507,15507
Polk, Texas,48373,45413,45415
Potter, Texas,48375,121073,121078
Presidio, Texas,48377,7818,7817
Rains, Texas,48379,10914,10916
Randall, Texas,48381,120725,120720
Reagan, Texas,48383,3367,3367
Real, Texas,48385,3309,3309
Red River, Texas,48387,12860,12862
Reeves, Texas,48389,13783,13783
Refugio, Texas,48391,7383,7383
Roberts, Texas,48393,929,929
Robertson, Texas,48395,16622,16620
Rockwall, Texas,48397,78337,78345
Runnels, Texas,48399,10501,10502
Rusk, Texas,48401,53330,53309
Sabine, Texas,48403,10834,10836
San Augustine, Texas,48405,8865,8861
San Jacinto, Texas,48407,26384,26378
San Patricio, Texas,48409,64804,64802
San Saba, Texas,48411,6131,6130
Schleicher, Texas,48413,3461,3461
Scurry, Texas,48415,16921,16919
Shackelford, Texas,48417,3378,3376
Shelby, Texas,48419,25448,25448
Sherman, Texas,48421,3034,3034
Smith, Texas,48423,209714,209725
Somervell, Texas,48425,8490,8491
Starr, Texas,48427,60968,60967
Stephens, Texas,48429,9630,9634
Sterling, Texas,48431,1143,1143
Stonewall, Texas,48433,1490,1490
Sutton, Texas,48435,4128,4128
Swisher, Texas,48437,7854,7859
Tarrant, Texas,48439,1809034,1810664
Taylor, Texas,48441,131506,131515
Terrell, Texas,48443,984,984
Terry, Texas,48445,12651,12651
Throckmorton, Texas,48447,1641,1641
Titus, Texas,48449,32334,32334
Tom Green, Texas,48451,110224,110228
Travis, Texas,48453,1024266,1024444
Trinity, Texas,48455,14585,14675
Tyler, Texas,48457,21766,21760
Upshur, Texas,48459,39309,39311
Upton, Texas,48461,3355,3349
Uvalde, Texas,48463,26405,26405
Val Verde, Texas,48465,48879,48879
Van Zandt, Texas,48467,52579,52552
Victoria, Texas,48469,86793,86793
Walker, Texas,48471,67861,67860
Waller, Texas,48473,43205,43274
Ward, Texas,48475,10658,10658
Washington, Texas,48477,33718,33699
Webb, Texas,48479,250304,250304
Wharton, Texas,48481,41280,41280
Wheeler, Texas,48483,5410,5406
Wichita, Texas,48485,131500,131659
Wilbarger, Texas,48487,13535,13535
Willacy, Texas,48489,22134,22136
Williamson, Texas,48491,422679,422504
Wilson, Texas,48493,42918,42905
Winkler, Texas,48495,7110,7110
Wise, Texas,48497,59127,59115
Wood, Texas,48499,41964,41959
Yoakum, Texas,48501,7879,7879
Young, Texas,48503,18550,18550
Zapata, Texas,48505,14018,14018
Zavala, Texas,48507,11677,11677
Beaver, Utah,49001,6629,6629
Box Elder, Utah,49003,49975,49983
Cache, Utah,49005,112656,112656
Carbon, Utah,49007,21403,21403
Daggett, Utah,49009,1059,1061
Davis, Utah,49011,306479,306492
Duchesne, Utah,49013,18607,18605
Emery, Utah,49015,10976,10976
Garfield, Utah,49017,5172,5172
Grand, Utah,49019,9225,9224
Iron, Utah,49021,46163,46163
Juab, Utah,49023,10246,10246
Kane, Utah,49025,7125,7125
Millard, Utah,49027,12503,12503
Morgan, Utah,49029,9469,9469
Piute, Utah,49031,1556,1557
Rich, Utah,49033,2264,2264
Salt Lake, Utah,49035,1029655,1029590
San Juan, Utah,49037,14746,14745
Sanpete, Utah,49039,27822,27822
Sevier, Utah,49041,20802,20801
Summit, Utah,49043,36324,36324
Tooele, Utah,49045,58218,58218
Uintah, Utah,49047,32588,32588
Utah, Utah,49049,516564,516639
Wasatch, Utah,49051,23530,23525
Washington, Utah,49053,138115,138115
Wayne, Utah,49055,2778,2778
Weber, Utah,49057,231236,231218
Addison, Vermont,50001,36821,36818
Bennington, Vermont,50003,37125,37119
Caledonia, Vermont,50005,31227,31234
Chittenden, Vermont,50007,156545,156535
Essex, Vermont,50009,6306,6306
Franklin, Vermont,50011,47746,47759
Grand Isle, Vermont,50013,6970,6970
Lamoille, Vermont,50015,24475,24473
Orange, Vermont,50017,28936,28936
Orleans, Vermont,50019,27231,27234
Rutland, Vermont,50021,61642,61660
Washington, Vermont,50023,59534,59524
Windham, Vermont,50025,44513,44511
Windsor, Vermont,50027,56670,56658
Accomack, Virginia,51001,33164,33162
Albemarle, Virginia,51003,98970,98998
Alleghany, Virginia,51005,16250,16264
Amelia, Virginia,51007,12690,12695
Amherst, Virginia,51009,32353,32354
Appomattox, Virginia,51011,14973,15028
Arlington, Virginia,51013,207627,207696
Augusta, Virginia,51015,73750,73753
Bath, Virginia,51017,4731,4727
Bedford, Virginia,51019,68676,74929
Bland, Virginia,51021,6824,6824
Botetourt, Virginia,51023,33148,33152
Brunswick, Virginia,51025,17434,17426
Buchanan, Virginia,51027,24098,24102
Buckingham, Virginia,51029,17146,17140
Campbell, Virginia,51031,54842,54809
Caroline, Virginia,51033,28545,28554
Carroll, Virginia,51035,30042,30072
Charles City, Virginia,51036,7256,7256
Charlotte, Virginia,51037,12586,12597
Chesterfield, Virginia,51041,316236,316240
Clarke, Virginia,51043,14034,14025
Craig, Virginia,51045,5190,5175
Culpeper, Virginia,51047,46689,46688
Cumberland, Virginia,51049,10052,10039
Dickenson, Virginia,51051,15903,15877
Dinwiddie, Virginia,51053,28001,28012
Essex, Virginia,51057,11151,11149
Fairfax, Virginia,51059,1081726,1081703
Fauquier, Virginia,51061,65203,65228
Floyd, Virginia,51063,15279,15291
Fluvanna, Virginia,51065,25691,25742
Franklin, Virginia,51067,56159,56128
Frederick, Virginia,51069,78305,78269
Giles, Virginia,51071,17286,17286
Gloucester, Virginia,51073,36858,36859
Goochland, Virginia,51075,21717,21692
Grayson, Virginia,51077,15533,15554
Greene, Virginia,51079,18403,18389
Greensville, Virginia,51081,12243,12245
Halifax, Virginia,51083,36241,36253
Hanover, Virginia,51085,99863,99850
Henrico, Virginia,51087,306935,306756
Henry, Virginia,51089,54151,54182
Highland, Virginia,51091,2321,2319
Isle of Wight, Virginia,51093,35270,35277
James City, Virginia,51095,67009,67379
King and Queen, Virginia,51097,6945,6940
King George, Virginia,51099,23584,23578
King William, Virginia,51101,15935,15927
Lancaster, Virginia,51103,11391,11390
Lee, Virginia,51105,25587,25589
Loudoun, Virginia,51107,312311,312348
Louisa, Virginia,51109,33153,33168
Lunenburg, Virginia,51111,12914,12916
Madison, Virginia,51113,13308,13306
Mathews, Virginia,51115,8978,8976
Mecklenburg, Virginia,51117,32727,32716
Middlesex, Virginia,51119,10959,10959
Montgomery, Virginia,51121,94392,94422
Nelson, Virginia,51125,15020,15015
New Kent, Virginia,51127,18429,18432
Northampton, Virginia,51131,12389,12391
Northumberland, Virginia,51133,12330,12331
Nottoway, Virginia,51135,15853,15853
Orange, Virginia,51137,33481,33554
Page, Virginia,51139,24042,24051
Patrick, Virginia,51141,18490,18500
Pittsylvania, Virginia,51143,63506,63469
Powhatan, Virginia,51145,28046,28069
Prince Edward, Virginia,51147,23368,23363
Prince George, Virginia,51149,35725,35715
Prince William, Virginia,51153,402002,402009
Pulaski, Virginia,51155,34872,34857
Rappahannock, Virginia,51157,7373,7506
Richmond, Virginia,51159,9254,9254
